;acontecimiento;año
0;La firma de la Declaración de Independencia de Estados Unidos ;177
1;La caída del Imperio Romano de Occidente ;476
2;La Revolución Francesa ;178
3;El descubrimiento de América por Cristóbal Colón ;149
4;El hundimiento del Titanic ;191
5;El primer vuelo de los hermanos Wright ;190
6;La fundación de Roma ;753
7;El inicio de la Primera Guerra Mundial ;191
8;El final de la Segunda Guerra Mundial ;194
9;La caída del Muro de Berlín ;198
10;El inicio de la era Meiji ;186
11;La invención de la imprenta por Johannes Gutenberg ;144
12;La firma del Tratado de Versalles ;191
13;La Revolución Rusa ;191
14;La conquista de Constantinopla por los otomanos ;145
15;El nacimiento de Buda Gautama ;563
16;La creación de la Unión Europea ;199
17;La primera ascensión al Everest ;195
18;El inicio del Renacimiento ;130
19;La invasión de Normandía durante la Segunda Guerra Mundial ;194
20;La caída del Imperio Inca ;153
21;La independencia de la India ;194
22;El descubrimiento de la penicilina por Alexander Fleming ;192
23;La creación de la República Popular China ;194
24;El inicio de la construcción de la Gran Muralla China ;700
25;El descubrimiento del Nuevo Mundo por Cristóbal Colón ;149
26;La firma del Tratado de Tordesillas ;149
