iter	Passed	Remaining
0	1	330
1	3	303
2	4	284
3	5	275
4	6	270
5	11	371
6	15	418
7	18	440
8	22	469
9	23	448
10	25	430
11	26	415
12	28	404
13	29	392
14	30	381
15	32	371
16	33	365
17	35	359
18	38	370
19	40	363
20	41	356
21	43	350
22	44	344
23	46	339
24	47	333
25	49	328
26	50	323
27	52	324
28	55	324
29	56	321
30	58	317
31	60	318
32	61	313
33	63	309
34	64	305
35	66	302
36	67	299
37	69	295
38	70	291
39	72	289
40	81	314
41	82	310
42	83	306
43	85	302
44	86	299
45	88	295
46	89	291
47	90	287
48	92	283
49	93	280
50	94	277
51	96	274
52	97	270
53	99	268
54	100	265
55	102	262
56	103	259
57	105	257
58	106	255
59	108	252
60	109	249
61	110	246
62	111	243
63	113	241
64	114	238
65	116	235
66	117	233
67	119	231
68	120	228
69	121	226
70	123	224
71	125	222
72	126	220
73	127	217
74	129	215
75	131	213
76	132	211
77	134	209
78	135	207
79	136	204
80	137	202
81	139	200
82	140	198
83	142	196
84	143	193
85	144	191
86	145	189
87	147	187
88	148	185
89	150	183
90	151	181
91	152	179
92	154	177
93	155	175
94	156	173
95	158	171
96	159	169
97	160	167
98	161	164
99	162	162
100	163	160
101	165	158
102	166	156
103	167	154
104	168	152
105	170	150
106	171	148
107	172	146
108	173	145
109	174	143
110	176	141
111	177	139
112	178	137
113	179	135
114	180	133
115	182	132
116	183	130
117	184	128
118	185	126
119	186	124
120	187	122
121	188	120
122	190	119
123	191	117
124	192	115
125	193	113
126	194	111
127	195	110
128	197	108
129	198	106
130	199	104
131	200	103
132	201	101
133	202	99
134	203	97
135	204	96
136	205	94
137	206	92
138	207	91
139	208	89
140	209	87
141	210	86
142	211	84
143	212	82
144	213	81
145	215	79
146	216	78
147	217	76
148	218	74
149	219	73
150	220	71
151	221	70
152	222	68
153	223	66
154	224	65
155	225	63
156	226	62
157	228	60
158	229	59
159	230	57
160	231	56
161	232	54
162	233	52
163	234	51
164	236	50
165	237	48
166	238	47
167	239	45
168	240	44
169	241	42
170	242	41
171	243	39
172	244	38
173	245	36
174	246	35
175	247	33
176	248	32
177	249	30
178	250	29
179	251	27
180	252	26
181	253	25
182	254	23
183	255	22
184	256	20
185	257	19
186	257	17
187	258	16
188	259	15
189	260	13
190	261	12
191	262	10
192	263	9
193	264	8
194	265	6
195	266	5
196	267	4
197	268	2
198	269	1
199	270	0
